Sample ID	Inferred ID	Csore	DeltaCscore
2015-1341	2015-1341	2.3963963963964	0.434046052631579
2015-1341	2015-1471	1.35625	0.440153177975996
2015-1341	2015-354	1.3416149068323	0.458027691179167
2015-1341	2015-38	1.29878048780488	0.463841421736159
2015-1341	2016-953	1.28484848484848	0.463841421736159
2015-1341	2015-1539	1.28484848484848	0.46958510734668
2015-1341	2015-280	1.2710843373494	0.475260006303183
2015-1341	2015-244	1.25748502994012	0.475260006303183
2015-1341	2016-892	1.25748502994012	0.475260006303183
2015-1341	2015-516	1.25748502994012	0.475260006303183
2015-1341	2016-932	1.25748502994012	0.480867346938775
2015-1341	2016-947	1.24404761904762	0.480867346938775
2015-1341	2016-945	1.24404761904762	0.480867346938775
2015-1341	2015-21	1.24404761904762	0.486408328513592
2015-1341	2015-1399	1.23076923076923	0.486408328513592
2015-1341	2015-1343	1.23076923076923	0.486408328513592
2015-1341	2015-1504	1.23076923076923	0.486408328513592
2015-1341	2015-1453	1.23076923076923	0.486408328513592
2015-1341	2016-926	1.23076923076923	0.486408328513592
2015-1341	2015-1333	1.23076923076923	0.486408328513592
2015-1341	2016-925	1.23076923076923	0.491884122069881
2015-1341	2015-917	1.21764705882353	0.491884122069881
2015-1341	2014-2199	1.21764705882353	0.491884122069881
2015-1341	2015-902	1.21764705882353	0.491884122069881
2015-1341	2015-515	1.21764705882353	0.491884122069881
2015-1341	2016-927	1.21764705882353	0.491884122069881
2015-1341	2014-2195	1.21764705882353	0.491884122069881
2015-1341	2015-282	1.21764705882353	0.49729587125709
2015-1341	2016-959	1.2046783625731	0.49729587125709
2015-1341	2015-353	1.2046783625731	0.49729587125709
2015-1341	2015-1332	1.2046783625731	0.49729587125709
2015-1341	2015-1449	1.2046783625731	0.49729587125709
2015-1341	2015-892	1.2046783625731	0.49729587125709
2015-1341	2015-3	1.2046783625731	0.49729587125709
2015-1341	2015-7	1.2046783625731	0.49729587125709
2015-1341	2015-1403	1.2046783625731	0.49729587125709
2015-1341	2015-1448	1.2046783625731	0.49729587125709
2015-1341	2015-1339	1.2046783625731	0.502644693128169
2015-1341	2015-1443	1.19186046511628	0.502644693128169
2015-1341	2015-1473	1.19186046511628	0.502644693128169
2015-1341	2015-518	1.19186046511628	0.502644693128169
2015-1341	2016-890	1.19186046511628	0.502644693128169
2015-1341	2015-1444	1.19186046511628	0.502644693128169
2015-1341	2015-1552	1.19186046511628	0.502644693128169
2015-1341	2016-931	1.19186046511628	0.507931678908253
2015-1341	2016-930	1.17919075144509	0.507931678908253
2015-1341	2015-243	1.17919075144509	0.507931678908253
2015-1341	2015-1406	1.17919075144509	0.507931678908253
2015-1341	2015-925	1.17919075144509	0.507931678908253
2015-1341	2015-766	1.17919075144509	0.507931678908253
2015-1341	2015-1405	1.17919075144509	0.507931678908253
2015-1341	2015-919	1.17919075144509	0.507931678908253
2015-1341	2016-924	1.17919075144509	0.507931678908253
2015-1341	2015-1450	1.17919075144509	0.513157894736842
2015-1341	2014-2196	1.16666666666667	0.513157894736842
2015-1341	2015-894	1.16666666666667	0.513157894736842
2015-1341	2015-1556	1.16666666666667	0.513157894736842
2015-1341	2015-738	1.16666666666667	0.513157894736842
2015-1341	2015-22	1.16666666666667	0.513157894736842
2015-1341	2016-961	1.16666666666667	0.513157894736842
2015-1341	2015-1334	1.16666666666667	0.513157894736842
2015-1341	2015-1452	1.16666666666667	0.513157894736842
2015-1341	2015-739	1.16666666666667	0.513157894736842
2015-1341	2015-767	1.16666666666667	0.513157894736842
2015-1341	2015-513	1.16666666666667	0.518324382384533
2015-1341	2015-283	1.15428571428571	0.518324382384533
2015-1341	2015-519	1.15428571428571	0.518324382384533
2015-1341	2015-1541	1.15428571428571	0.518324382384533
2015-1341	2015-249	1.15428571428571	0.518324382384533
2015-1341	2016-946	1.15428571428571	0.518324382384533
2015-1341	2015-352	1.15428571428571	0.523432159945318
2015-1341	2014-2200	1.14204545454545	0.523432159945318
2015-1341	2015-774	1.14204545454545	0.523432159945318
2015-1341	2015-864	1.14204545454545	0.523432159945318
2015-1341	2015-1432	1.14204545454545	0.523432159945318
2015-1341	2015-775	1.14204545454545	0.523432159945318
2015-1341	2016-938	1.14204545454545	0.523432159945318
2015-1341	2015-1535	1.14204545454545	0.523432159945318
2015-1341	2014-2627	1.14204545454545	0.528482222505416
2015-1341	2015-1476	1.12994350282486	0.528482222505416
2015-1341	2015-248	1.12994350282486	0.528482222505416
2015-1341	2015-355	1.12994350282486	0.528482222505416
2015-1341	2015-1467	1.12994350282486	0.528482222505416
2015-1341	2015-1435	1.12994350282486	0.528482222505416
2015-1341	2015-733	1.12994350282486	0.528482222505416
2015-1341	2015-510	1.12994350282486	0.528482222505416
2015-1341	2015-1508	1.12994350282486	0.528482222505416
2015-1341	2014-2625	1.12994350282486	0.528482222505416
2015-1341	2015-1509	1.12994350282486	0.528482222505416
2015-1341	2015-1503	1.12994350282486	0.528482222505416
2015-1341	2016-960	1.12994350282486	0.528482222505416
2015-1341	2015-1	1.12994350282486	0.528482222505416
2015-1341	2015-1511	1.12994350282486	0.528482222505416
2015-1341	2015-480	1.12994350282486	0.533475542789558
2015-1341	2015-855	1.11797752808989	0.533475542789558
2015-1341	2015-479	1.11797752808989	0.533475542789558
2015-1341	2015-284	1.11797752808989	0.533475542789558
2015-1341	2015-1505	1.11797752808989	0.533475542789558
2015-1341	2016-952	1.11797752808989	0.533475542789558
2015-1341	2015-1336	1.11797752808989	0.533475542789558
2015-1341	2014-2626	1.11797752808989	0.533475542789558
